Unnamed: 0,pub_id,researcher_id,author_name,aff_name,aff_id,aff_city_id,aff_country_code,journal.title
4432,pub.1002508364,ur.01321064225.67,Francois Lamontagne,Université de Sherbrooke,grid.86715.3d,6146143.0,CA,JAMA
5041,pub.1037563695,ur.01051603547.58,D Annane,Raymond Poincaré University Hospital,grid.414291.b,3016675.0,FR,The Lancet
12418,pub.1062801971,ur.01015360542.49,W G Headdon,Peninsula College of Medicine and Dentistry,grid.467855.d,2640194.0,GB,The BMJ
12419,pub.1062801971,ur.01015360542.49,W G Headdon,Royal Cornwall Hospital,grid.416116.5,2635412.0,GB,The BMJ
12479,pub.1015607716,ur.01051603547.58,Djillali Annane,Raymond Poincaré University Hospital,grid.414291.b,3016675.0,FR,JAMA
31849,pub.1007706915,ur.01043570042.55,Charlotte Summers,University of Cambridge,grid.5335.0,2653941.0,GB,The BMJ
31850,pub.1007706915,ur.01043570042.55,Charlotte Summers,Addenbrooke's Hospital,grid.120073.7,2653941.0,GB,The BMJ
38742,pub.1050627345,ur.0712501406.79,David Menon,University of Cambridge,grid.5335.0,2653941.0,GB,The BMJ
38743,pub.1050627345,ur.0712501406.79,David Menon,Addenbrooke's Hospital,grid.120073.7,2653941.0,GB,The BMJ
40510,pub.1013811349,ur.0725403076.55,Frank M Brunkhorst,Friedrich Schiller University Jena,grid.9613.d,2895044.0,DE,New England Journal of Medicine
42325,pub.1040523593,ur.01051603547.58,Djillali Annane,Versailles Saint-Quentin-en-Yvelines University,grid.12832.3a,2969679.0,FR,The Lancet
42326,pub.1040523593,ur.01051603547.58,Djillali Annane,Raymond Poincaré University Hospital,grid.414291.b,3016675.0,FR,The Lancet
42719,pub.1034832820,ur.010700674464.41,Kathryn M Rowan,Intensive Care National Audit & Research Centre,grid.450885.4,2643743.0,GB,The BMJ
43280,pub.1018717844,ur.01010123626.36,Roger J. Lewis,Harbor–UCLA Medical Center,grid.239844.0,5403022.0,US,JAMA
47147,pub.1011922508,ur.0712501406.79,David K Menon,Addenbrooke's Hospital,grid.120073.7,2653941.0,GB,The BMJ
47148,pub.1011922508,ur.0712501406.79,David K Menon,University of Cambridge,grid.5335.0,2653941.0,GB,The BMJ
48218,pub.1037918876,ur.01051603547.58,Djillali Annane,Versailles Saint-Quentin-en-Yvelines University,grid.12832.3a,2969679.0,FR,The Lancet
48242,pub.1034391245,ur.01051603547.58,Djillali Annane,Versailles Saint-Quentin-en-Yvelines University,grid.12832.3a,2969679.0,FR,The Lancet
48243,pub.1034391245,ur.01051603547.58,Djillali Annane,Raymond Poincaré University Hospital,grid.414291.b,3016675.0,FR,The Lancet
53887,pub.1049757013,ur.0673455705.49,Niall D Ferguson,Toronto Western Hospital,grid.417188.3,6167865.0,CA,The BMJ
62174,pub.1029087872,ur.01034252003.00,Gaetan Plantefeve,"Service de Réanimation Polyvalente, Centre Hospitalier, d'Argenteuil, France",,,FR,JAMA
63739,pub.1024358500,ur.01051603547.58,Djillali Annane,Raymond Poincaré University Hospital,grid.414291.b,3016675.0,FR,JAMA
66195,pub.1050469025,ur.01003376353.52,Zudin A. Puthucheary,University College London,grid.83440.3b,2643743.0,GB,JAMA
66196,pub.1050469025,ur.01003376353.52,Zudin A. Puthucheary,King's College London,grid.13097.3c,2643743.0,GB,JAMA
66197,pub.1050469025,ur.01003376353.52,Zudin A. Puthucheary,King's College London,grid.13097.3c,2643743.0,GB,JAMA
66198,pub.1050469025,ur.01003376353.52,Zudin A. Puthucheary,King's College Hospital NHS Foundation Trust,grid.429705.d,2643743.0,GB,JAMA
66199,pub.1050469025,ur.01003376353.52,Zudin A. Puthucheary,St Thomas' Hospital,grid.425213.3,2643743.0,GB,JAMA
66200,pub.1050469025,ur.01003376353.52,Zudin A. Puthucheary,King's College London,grid.13097.3c,2643743.0,GB,JAMA
70807,pub.1004385393,ur.01237120345.83,Edward Litton,Royal Perth Hospital,grid.416195.e,2063523.0,AU,The BMJ
70808,pub.1004385393,ur.01237120345.83,Edward Litton,University of Western Australia,grid.1012.2,2063523.0,AU,The BMJ
81060,pub.1024718547,ur.01024721155.96,Paul Mouncey,Cancer Research UK,grid.11485.39,2643743.0,GB,The Lancet
81061,pub.1024718547,ur.01024721155.96,Paul Mouncey,"Cancer Research UK and UCL Cancer Trials Centre, UCL Cancer Institute, London UK",,,GB,The Lancet
82265,pub.1018492903,ur.01321064225.67,François Lamontagne,Centre Hospitalier Universitaire de Sherbrooke,grid.411172.0,6146143.0,CA,The BMJ
82266,pub.1018492903,ur.01321064225.67,François Lamontagne,Université de Sherbrooke,grid.86715.3d,6146143.0,CA,The BMJ
84087,pub.1041562773,ur.0712501406.79,D K Menon,University of Cambridge,grid.5335.0,2653941.0,GB,The BMJ
84088,pub.1041562773,ur.0712501406.79,D K Menon,Addenbrooke's Hospital,grid.120073.7,2653941.0,GB,The BMJ
85744,pub.1033098101,ur.0712501406.79,David K Menon,University of Cambridge,grid.5335.0,2653941.0,GB,The BMJ
88746,pub.1001810306,ur.0736352243.56,Muthiah Vaduganathan,"Department of Medicine, Massachusetts General Hospital, Harvard Medical School, Boston (Dr Vaduganathan)",,,,JAMA
88783,pub.1036456491,ur.0673455705.49,Niall D Ferguson,University of Toronto,grid.17063.33,6167865.0,CA,New England Journal of Medicine
88997,pub.1031433766,ur.01034252003.00,Gaetan Plantefeve,"Medical-Surgical Intensive Care Unit, District Hospital Center, Argenteuil, France (Dr Plantefeve)",,3037044.0,FR,JAMA
89184,pub.1033630422,ur.01207735765.91,Charlotte Bradbury,University Hospitals Birmingham NHS Foundation Trust,grid.412563.7,2655603.0,GB,The BMJ
93448,pub.1042399008,ur.0673455705.49,Niall Ferguson,"Interdepartmental Division of Critical Care Medicine, and Division of Respirology, Department of Medicine, University Health Network and Mount Sinai Hospital, University of Toronto (Dr Ferguson)",,,,JAMA
94085,pub.1017386684,ur.01010123626.36,Roger J. Lewis,"Department of Emergency Medicine, Harbor-University of California Los Angeles Medical Center, Torrance (Dr Lewis).",,,,JAMA
96129,pub.1025263583,ur.0673455705.49,Niall D. Ferguson,Mount Sinai Hospital,grid.416166.2,6167865.0,CA,JAMA
96945,pub.1053057186,ur.010710050004.99,Marc J Bonten,University Medical Center Utrecht,grid.7692.a,2745912.0,NL,The BMJ
98118,pub.1036877057,ur.0725403076.55,Frank Brunkhorst,Friedrich Schiller University Jena,grid.9613.d,2895044.0,DE,JAMA
105754,pub.1051004134,ur.01010123626.36,Roger J. Lewis,Harbor–UCLA Medical Center,grid.239844.0,5403022.0,US,JAMA
105767,pub.1040915131,ur.0725403076.55,Frank M. Brunkhorst,Friedrich Schiller University Jena,grid.9613.d,2895044.0,DE,JAMA
105786,pub.1040915131,ur.01013434351.62,Lorenz Reill,Vivantes Klinikum,grid.433867.d,2950159.0,DE,JAMA
107121,pub.1012130486,ur.010700674464.41,Kathryn M Rowan,Intensive Care National Audit & Research Centre,grid.450885.4,2643743.0,GB,The BMJ
107698,pub.1031225508,ur.01321064225.67,Francois Lamontagne,Université de Sherbrooke,grid.86715.3d,6146143.0,CA,The BMJ
115445,pub.1047125597,ur.010700674464.41,Kathryn M. Rowan,Intensive Care National Audit & Research Centre,grid.450885.4,2643743.0,GB,JAMA
118955,pub.1017387611,ur.013052706317.18,Daniel F McAuley,Queen's University Belfast,grid.4777.3,2655984.0,GB,The Lancet
118956,pub.1017387611,ur.013052706317.18,Daniel F McAuley,Royal Victoria Hospital,grid.416232.0,2655984.0,GB,The Lancet
123710,pub.1023046163,ur.013052706317.18,Daniel F. McAuley,Queen's University Belfast,grid.4777.3,2655984.0,GB,JAMA
