researcher_id,journal.title,aff_country_code,LMIC
ur.01000000750.05,JAMA,,1
ur.01000000760.09,JAMA,,1
ur.010000074701.33,JAMA,US,1
ur.01000007746.59,JAMA,US,1
ur.010000113104.01,JAMA,FR,1
ur.010000214620.34,JAMA,,1
ur.010000273217.47,JAMA,US,1
ur.01000034062.61,JAMA,US,1
ur.010000510502.25,JAMA,CA,1
ur.01000056651.46,JAMA,AU,1
ur.01000100332.88,JAMA,US,1
ur.010001012067.44,JAMA,CA,1
ur.01000103126.76,JAMA,,1
ur.01000162615.75,JAMA,US,1
ur.01000164027.34,JAMA,US,1
ur.01000174200.52,JAMA,CA,1
ur.01000200133.51,JAMA,KE,2
ur.01000213452.44,JAMA,US,1
ur.01000213534.23,JAMA,US,1
ur.01000214005.05,JAMA,JP,1
ur.010002144617.47,JAMA,US,1
ur.01000217503.46,JAMA,CA,1
ur.010002202513.08,JAMA,CN,2
ur.01000233303.53,JAMA,US,1
ur.01000236724.51,JAMA,US,1
ur.01000240271.59,JAMA,US,1
ur.01000247312.60,JAMA,US,1
ur.01000247734.16,JAMA,US,1
ur.01000252666.30,JAMA,,1
ur.01000257453.58,JAMA,GB,1
ur.01000257725.27,JAMA,AU,1
ur.010002633223.24,JAMA,JP,1
ur.01000265136.24,JAMA,US,1
ur.010002702442.37,JAMA,AE,1
ur.01000276735.56,JAMA,US,1
ur.01000310121.08,JAMA,US,1
ur.01000311041.36,JAMA,CA,1
ur.01000317527.22,JAMA,US,1
ur.01000331755.01,JAMA,SY,2
ur.01000335713.51,JAMA,,1
ur.010003643452.32,JAMA,US,1
ur.01000365051.18,JAMA,AU,1
ur.01000366301.20,JAMA,US,1
ur.01000370410.26,JAMA,NL,1
ur.01000373376.82,JAMA,US,1
ur.01000415511.25,JAMA,US,1
ur.01000421307.10,JAMA,GB,1
ur.01000426230.88,JAMA,US,1
ur.01000430663.68,JAMA,US,1
ur.01000454567.22,JAMA,DK,1
ur.01000457636.19,JAMA,,1
ur.010004641371.10,JAMA,AU,1
ur.01000467514.72,JAMA,IR,2
ur.01000471502.18,JAMA,CA,1
ur.01000500536.25,JAMA,GB,1
ur.010005227640.77,JAMA,,1
ur.01000524262.16,JAMA,,1
ur.010005254652.34,JAMA,,1
ur.01000531211.14,JAMA,US,1
ur.01000535417.39,JAMA,AU,1
ur.010005434064.87,JAMA,,1
ur.01000544444.63,JAMA,NL,1
ur.01000551236.04,JAMA,US,1
ur.01000557215.97,JAMA,DE,1
ur.01000573350.32,JAMA,US,1
