researcher_id,journal.title,aff_country_code,LMIC
ur.01000004444.11,Lancet,US,1
ur.01000007120.97,Lancet,BR,2
ur.01000010550.11,Lancet,US,1
ur.01000011224.38,Lancet,CN,2
ur.010000205443.34,Lancet,GB,1
ur.01000025634.14,Lancet,US,1
ur.01000043546.12,Lancet,CA,1
ur.01000044514.05,Lancet,GR,1
ur.010000512475.24,Lancet,US,1
ur.01000053322.81,Lancet,US,1
ur.01000055212.12,Lancet,FR,1
ur.01000061363.55,Lancet,GB,1
ur.01000065365.13,Lancet,GB,1
ur.01000067740.66,Lancet,CN,2
ur.01000073537.47,Lancet,ZA,2
ur.01000075567.33,Lancet,GB,1
ur.01000076327.15,Lancet,US,1
ur.01000101520.54,Lancet,US,1
ur.01000102365.42,Lancet,CA,1
ur.01000103432.36,Lancet,ZA,2
ur.01000104174.03,Lancet,GB,1
ur.01000111267.75,Lancet,US,1
ur.01000127754.79,Lancet,CZ,1
ur.01000130206.65,Lancet,IT,1
ur.01000132113.28,Lancet,CU,2
ur.010001326757.53,Lancet,CN,2
ur.01000137757.32,Lancet,US,1
ur.01000142063.33,Lancet,GB,1
ur.0100014220.69,Lancet,CZ,1
ur.010001471655.81,Lancet,US,1
ur.01000154307.99,Lancet,GB,1
ur.010001617367.23,Lancet,US,1
ur.01000167607.77,Lancet,NZ,1
ur.01000174511.05,Lancet,CN,2
ur.01000200404.60,Lancet,GB,1
ur.010002010313.66,Lancet,GB,1
ur.01000203351.10,Lancet,NL,1
ur.01000213534.23,Lancet,US,1
ur.01000217046.81,Lancet,US,1
ur.010002170701.40,Lancet,NO,1
ur.01000224112.21,Lancet,CN,2
ur.010002367177.99,Lancet,US,1
ur.01000236724.51,Lancet,US,1
ur.01000237761.50,Lancet,ES,1
ur.010002423617.63,Lancet,US,1
ur.01000242462.86,Lancet,GB,1
ur.01000244044.16,Lancet,BE,1
ur.01000252543.03,Lancet,US,1
ur.01000262551.54,Lancet,FR,1
ur.01000263413.17,Lancet,GB,1
ur.01000273261.41,Lancet,GB,1
ur.01000276735.56,Lancet,US,1
ur.01000306336.05,Lancet,US,1
ur.01000312177.44,Lancet,US,1
ur.01000315665.24,Lancet,US,1
ur.01000317467.67,Lancet,GB,1
ur.01000317527.22,Lancet,US,1
ur.01000323731.24,Lancet,IT,1
ur.01000333032.01,Lancet,US,1
ur.01000333215.13,Lancet,TZ,2
ur.01000335362.81,Lancet,US,1
ur.01000337647.95,Lancet,KR,1
ur.01000345160.94,Lancet,FR,1
ur.010003504723.85,Lancet,GB,1
ur.01000353207.97,Lancet,CH,1
ur.01000353436.85,Lancet,DE,1
ur.01000356526.20,Lancet,GB,1
ur.01000357222.31,Lancet,GB,1
ur.010003643452.32,Lancet,US,1
ur.01000364507.62,Lancet,GB,1
ur.01000370352.43,Lancet,CN,2
ur.01000372152.60,Lancet,BE,1
ur.010004000743.36,Lancet,GB,1
ur.01000400112.73,Lancet,ZA,2
ur.01000404667.87,Lancet,IT,1
ur.01000422247.45,Lancet,GB,1
ur.01000423550.13,Lancet,NL,1
ur.01000427142.57,Lancet,GB,1
ur.01000430404.24,Lancet,SL,2
ur.01000432335.85,Lancet,US,1
ur.01000435341.11,Lancet,CN,2
ur.01000437634.10,Lancet,FR,1
ur.01000441007.88,Lancet,ID,2
ur.01000444473.53,Lancet,AU,1
ur.01000450131.21,Lancet,SG,1
ur.01000450541.14,Lancet,UG,2
ur.01000452670.90,Lancet,US,1
ur.01000454651.79,Lancet,US,1
ur.01000455376.91,Lancet,GB,1
ur.010004637445.77,Lancet,US,1
ur.01000467514.72,Lancet,US,1
ur.01000467544.88,Lancet,GB,1
ur.01000475571.41,Lancet,NO,1
ur.01000477074.38,Lancet,US,1
ur.01000500536.25,Lancet,GB,1
ur.010005012057.39,Lancet,NL,1
ur.01000510725.10,Lancet,CA,1
ur.01000511164.84,Lancet,NL,1
ur.01000523143.79,Lancet,US,1
ur.01000523634.07,Lancet,AU,1
ur.01000531211.14,Lancet,US,1
ur.01000531323.35,Lancet,GB,1
ur.01000533754.31,Lancet,GB,1
ur.010005342757.01,Lancet,GB,1
ur.01000536604.68,Lancet,AU,1
ur.010005400055.32,Lancet,FR,1
ur.01000542711.18,Lancet,IT,1
ur.01000543304.78,Lancet,ZA,2
ur.01000552405.20,Lancet,GB,1
ur.01000554102.27,Lancet,US,1
ur.01000555677.13,Lancet,CN,2
ur.01000556546.59,Lancet,FR,1
ur.01000562636.67,Lancet,CN,2
ur.01000571204.10,Lancet,JO,2
ur.01000573350.32,Lancet,AU,1
ur.01000603311.03,Lancet,KE,2
ur.010006035664.45,Lancet,FR,1
ur.01000612037.90,Lancet,US,1
ur.01000614572.31,Lancet,US,1
ur.01000621064.47,Lancet,US,1
ur.01000623225.75,Lancet,GB,1
ur.01000632303.64,Lancet,CA,1
ur.010006324737.43,Lancet,CA,1
ur.01000634420.06,Lancet,GB,1
