researcher_id,journal.title,aff_country_code,LMIC
ur.01000010550.11,PLOS,US,1
ur.01000011224.38,PLOS,CN,2
ur.01000023146.56,PLOS,CA,1
ur.01000032473.46,PLOS,ZA,2
ur.01000033157.19,PLOS,AU,1
ur.01000056651.46,PLOS,AU,1
ur.01000102445.14,PLOS,ZW,2
ur.010001103667.14,PLOS,VN,2
ur.01000133471.44,PLOS,GB,1
ur.01000154307.99,PLOS,GB,1
ur.01000157651.57,PLOS,FR,1
ur.01000157757.24,PLOS,GB,1
ur.01000200133.51,PLOS,US,1
ur.01000213534.23,PLOS,US,1
ur.01000221616.17,PLOS,FR,1
ur.01000224112.21,PLOS,CN,2
ur.010002612777.77,PLOS,US,1
ur.010003000707.45,PLOS,GB,1
ur.010003134160.69,PLOS,IN,2
ur.01000317312.72,PLOS,GB,1
ur.01000317467.67,PLOS,GB,1
ur.01000323521.35,PLOS,AU,1
ur.01000327055.25,PLOS,CN,2
ur.01000332427.86,PLOS,HU,1
ur.01000336362.26,PLOS,ZM,2
ur.010003376512.50,PLOS,US,1
ur.01000347250.56,PLOS,CL,1
ur.010003511007.28,PLOS,ML,2
ur.01000364507.62,PLOS,GB,1
ur.01000400112.73,PLOS,ZA,2
ur.010004176453.59,PLOS,NE,2
ur.01000427142.57,PLOS,GB,1
ur.01000437634.10,PLOS,FR,1
ur.01000450355.47,PLOS,CA,1
ur.01000450541.14,PLOS,UG,2
ur.01000467514.72,PLOS,US,1
ur.01000474110.83,PLOS,FR,1
ur.01000526134.77,PLOS,CN,2
ur.01000531211.14,PLOS,US,1
ur.01000545430.06,PLOS,US,1
ur.01000554102.27,PLOS,US,1
ur.01000607351.89,PLOS,US,1
ur.010006107052.41,PLOS,US,1
ur.01000613764.24,PLOS,CN,2
ur.01000615423.99,PLOS,NL,1
ur.01000642214.09,PLOS,GB,1
ur.01000674616.79,PLOS,GB,1
ur.01000703745.91,PLOS,CH,1
ur.01000714640.22,PLOS,US,1
ur.010007161624.00,PLOS,DK,1
ur.01000734516.10,PLOS,GB,1
ur.01000743202.95,PLOS,DE,1
ur.01000755775.28,PLOS,IN,2
ur.01000770640.50,PLOS,AU,1
ur.01001002653.78,PLOS,IN,2
ur.01001033200.76,PLOS,US,1
ur.01001037465.49,PLOS,ZM,2
ur.01001057773.70,PLOS,TZ,2
ur.010010753624.00,PLOS,BD,2
ur.010010765337.44,PLOS,US,1
ur.01001077454.32,PLOS,IN,2
ur.01001077712.52,PLOS,US,1
ur.01001113112.07,PLOS,GB,1
ur.01001130005.20,PLOS,JP,1
ur.01001132347.74,PLOS,NO,1
ur.01001133105.93,PLOS,GB,1
ur.01001142567.10,PLOS,IT,1
ur.01001144433.77,PLOS,US,1
ur.01001162526.23,PLOS,DK,1
ur.01001166450.13,PLOS,US,1
ur.01001172116.74,PLOS,AR,1
ur.01001217005.40,PLOS,AU,1
ur.01001222347.21,PLOS,US,1
ur.01001231757.50,PLOS,KH,2
ur.010012501137.24,PLOS,GB,1
ur.01001257362.75,PLOS,AU,1
ur.010012720645.45,PLOS,GB,1
ur.01001277230.34,PLOS,US,1
ur.01001302135.30,PLOS,NL,1
ur.01001315423.92,PLOS,NL,1
ur.01001324722.89,PLOS,GB,1
ur.01001333673.40,PLOS,IT,1
ur.01001364650.66,PLOS,US,1
ur.01001371351.75,PLOS,GB,1
ur.01001406527.35,PLOS,GB,1
ur.010014120307.38,PLOS,ZA,2
ur.010014537677.09,PLOS,IT,1
ur.01001456331.82,PLOS,CA,1
ur.01001457744.94,PLOS,CH,1
ur.01001467776.68,PLOS,UG,2
ur.010015073305.54,PLOS,ES,1
ur.01001524701.54,PLOS,US,1
ur.01001561122.12,PLOS,SE,1
ur.01001563633.61,PLOS,GB,1
ur.010015744317.36,PLOS,CN,2
ur.010016372563.05,PLOS,CA,1
ur.01001641521.99,PLOS,US,1
ur.010017072027.44,PLOS,GB,1
ur.01001707265.58,PLOS,CH,1
ur.01001735334.46,PLOS,US,1
ur.010017427062.40,PLOS,UG,2
ur.010017601021.17,PLOS,AU,1
ur.01001762452.22,PLOS,KR,1
ur.010017664461.67,PLOS,US,1
ur.01002031561.92,PLOS,GB,1
ur.010020543327.33,PLOS,KE,2
ur.010021001274.69,PLOS,KR,1
ur.01002104210.11,PLOS,AU,1
ur.01002110407.64,PLOS,US,1
ur.01002137176.40,PLOS,UG,2
ur.01002151702.45,PLOS,CA,1
ur.01002203467.89,PLOS,GB,1
ur.010022202517.33,PLOS,MW,2
ur.01002225376.92,PLOS,CA,1
ur.010022375202.95,PLOS,CA,1
ur.01002242046.22,PLOS,CA,1
ur.01002250671.76,PLOS,ZM,2
ur.01002253531.97,PLOS,US,1
ur.01002255150.69,PLOS,IN,2
ur.010022653563.47,PLOS,HT,2
ur.01002265762.17,PLOS,IT,1
ur.01002277151.82,PLOS,DE,1
ur.010023035457.12,PLOS,ES,1
ur.01002316164.03,PLOS,FR,1
ur.01002325242.48,PLOS,GB,1
ur.01002325717.82,PLOS,CH,1
ur.01002337726.60,PLOS,US,1
ur.01002342222.24,PLOS,EG,2
ur.01002363013.39,PLOS,US,1
ur.01002370610.91,PLOS,GB,1
ur.01002377130.46,PLOS,AU,1
ur.010024213144.35,PLOS,DE,1
ur.01002445705.05,PLOS,GB,1
ur.010024602567.27,PLOS,BF,2
ur.01002472505.72,PLOS,GB,1
ur.01002511137.53,PLOS,CA,1
ur.01002536735.07,PLOS,US,1
ur.01002545174.02,PLOS,GB,1
ur.01002573047.54,PLOS,US,1
ur.01002576526.75,PLOS,US,1
ur.01002604500.31,PLOS,US,1
ur.01002612061.11,PLOS,US,1
ur.01002616026.32,PLOS,GB,1
