,total,LMICs,LMICs_perc,HICs,Unknown,Avg BC,Avg DC,Avg CC,Min BC,Min DC,Min CC,Max BC,Max DC,Max CC
0,10937,1842,0.16841912773155343,9095,0,150617.8553717658,21.725884611867972,0.11068313384141115,0.0,0.0,0.0,35501560.66054334,888.0,0.2407251891618131
1,26,3,0.11538461538461539,23,0,79039.48040157264,12.961538461538462,0.11904038630305856,0.0,0.0,0.0,1321661.5650981907,48.0,0.19494002908803235
2,16,1,0.0625,15,0,42341.52736940476,14.0,0.09051973969282391,0.0,1.0,1.6388338058637473e-05,558343.3750132533,68.0,0.19525283173576466
3,63,8,0.12698412698412698,55,0,220359.01240443112,17.063492063492063,0.10907012594326747,0.0,0.0,0.0,3576822.1612397614,174.0,0.20707136626977765
4,27,5,0.18518518518518517,22,0,84878.69279937615,20.814814814814813,0.12237285626079862,0.0,3.0,4.916501417591242e-05,727909.3390172254,61.0,0.1858319045564222
5,35,4,0.11428571428571428,31,0,322621.72839066107,35.0,0.11957379751384524,0.0,1.0,1.6388338058637473e-05,5482791.288640002,601.0,0.22903166773196687
6,15,2,0.13333333333333333,13,0,25186.73365165466,16.933333333333334,0.10068722430962344,0.0,3.0,6.555335223454989e-05,337282.8308167303,55.0,0.18815858032252186
7,20,5,0.25,15,0,336220.84019838006,17.0,0.10920254343368747,0.0,0.0,0.0,5629193.104892785,74.0,0.1876136420688398
8,35,5,0.14285714285714285,30,0,155305.60603424927,35.82857142857143,0.09961186496621918,0.0,0.0,0.0,2367981.267664618,444.0,0.22398928827014017
9,19,6,0.3157894736842105,13,0,15060.89617249739,11.578947368421053,0.09636704172636033,0.0,0.0,0.0,286111.93063156755,27.0,0.1888638056270521
10,11,1,0.09090909090909091,10,0,25080.4898484841,15.090909090909092,0.11047511073345198,0.0,1.0,0.00011471836641046231,100437.09555459081,31.0,0.18432502288516492
11,23,6,0.2608695652173913,17,0,801510.9309288553,33.34782608695652,0.10888261032017525,0.0,0.0,0.0,10853389.196880395,225.0,0.19587675267425614
12,23,2,0.08695652173913043,21,0,82807.88698331518,15.826086956521738,0.1280707984141769,0.0,1.0,1.6388338058637473e-05,773516.4773874017,68.0,0.17859519816494304
13,19,3,0.15789473684210525,16,0,299547.0811004206,23.526315789473685,0.1072840562572664,0.0,1.0,1.6388338058637473e-05,3260800.7206251994,159.0,0.19604589723162363
14,35,5,0.14285714285714285,30,0,218484.92659990856,20.714285714285715,0.12042567650945994,0.0,0.0,0.0,3445115.024555724,99.0,0.16910934845431508
15,56,11,0.19642857142857142,45,0,96902.11826216865,21.589285714285715,0.1037743087067465,0.0,0.0,0.0,1686984.3649712782,411.0,0.2288566246735652
16,21,4,0.19047619047619047,17,0,73669.24096237366,14.666666666666666,0.09379252467196171,0.0,1.0,1.6388338058637473e-05,1278731.598674517,72.0,0.19567093595883017
17,12,1,0.08333333333333333,11,0,7733.896502354512,13.583333333333334,0.06906681228244711,0.0,0.0,0.0,92803.75802825415,34.0,0.15095306521870014
18,24,4,0.16666666666666666,20,0,119638.18356787298,16.083333333333332,0.11213572664417037,0.0,1.0,2.458250708795621e-05,804630.8595686525,55.0,0.19814110072926158
19,14,3,0.21428571428571427,11,0,152380.4498745287,57.714285714285715,0.1331968263066203,0.0,0.0,0.0,1205405.7934869186,592.0,0.22917486408741183
20,13,2,0.15384615384615385,11,0,400775.59845603385,21.846153846153847,0.12360658651363592,0.0,1.0,4.916501417591242e-05,4673518.332750317,96.0,0.19770004632960375
21,14,2,0.14285714285714285,12,0,125697.8929942722,15.214285714285714,0.12764656203081992,0.0,1.0,6.555335223454989e-05,1649188.4291409054,93.0,0.1859652353924864
22,22,4,0.18181818181818182,18,0,127988.57408130377,31.0,0.15178152765977831,0.0,2.0,4.916501417591242e-05,1418477.5615354714,308.0,0.21436957445213228
23,33,4,0.12121212121212122,29,0,161134.37257246714,17.696969696969695,0.11542082798517389,0.0,0.0,0.0,1738283.4868029614,90.0,0.19424041613895082
24,16,5,0.3125,11,0,23790.63806070415,19.8125,0.12598958938670068,0.0,4.0,6.555335223454989e-05,338042.9770596503,61.0,0.18792383688976128
25,15,2,0.13333333333333333,13,0,106433.67622946124,25.866666666666667,0.14120266957301641,0.0,1.0,0.10368937489835166,1180445.883892802,90.0,0.1907463054052904
26,16,4,0.25,12,0,118885.66995232183,21.375,0.1453490341475037,0.0,2.0,3.2776676117274946e-05,1132005.8230598911,72.0,0.1859763040239882
27,22,4,0.18181818181818182,18,0,4546.134575947247,16.59090909090909,0.1108969707310179,0.0,1.0,1.6388338058637473e-05,62485.27379938842,78.0,0.18575901547191503
28,23,8,0.34782608695652173,15,0,320393.3978193855,40.43478260869565,0.13143313375928592,0.0,2.0,3.2776676117274946e-05,4841424.484101857,393.0,0.2209990083755303
29,12,1,0.08333333333333333,11,0,73.75493434547262,11.166666666666666,0.13714198536446479,0.0,2.0,0.0002458250708795621,854.0592121456715,36.0,0.19399381717433042
30,29,7,0.2413793103448276,22,0,60680.97432938064,13.89655172413793,0.10501955763893965,0.0,1.0,1.6388338058637473e-05,1189448.0,72.0,0.1899646076931307
