,total,LMICs,LMICs_perc,HICs,Unknown,Avg BC,Avg DC,Avg CC
0,3199,173,0.054079399812441385,3026,0,161787.88854884193,23.812753985620507,0.11593600269952359
1,15,0,0.0,15,0,140.819515705091,22.4,0.11046163890177518
2,33,2,0.06060606060606061,31,0,11782.448533953067,20.696969696969695,0.11985800808600137
3,43,1,0.023255813953488372,42,0,136989.33634889833,21.348837209302324,0.1180728831317642
4,32,1,0.03125,31,0,438200.5580892664,22.34375,0.10689564991538252
5,16,1,0.0625,15,0,0.02631578947368421,17.8125,0.10881887275839826
6,13,0,0.0,13,0,9939.523648564991,25.76923076923077,0.12983972796265755
7,22,1,0.045454545454545456,21,0,101357.98928277119,13.772727272727273,0.1137292331325581
8,22,1,0.045454545454545456,21,0,144923.89696969674,17.318181818181817,0.11449400990839215
9,25,1,0.04,24,0,25517.17810984116,19.44,0.1263490878780107
10,30,2,0.06666666666666667,28,0,84314.04796800303,21.266666666666666,0.11559364846486588
11,22,3,0.13636363636363635,19,0,130869.34661733899,26.318181818181817,0.12697515472013343
12,20,1,0.05,19,0,2.0352070989682356,20.25,0.1168934205417563
13,30,1,0.03333333333333333,29,0,10524.12003407183,15.666666666666666,0.09688113420920501
14,24,3,0.125,21,0,163784.76690366885,21.125,0.10838123066569179
15,19,1,0.05263157894736842,18,0,317.78797200439834,26.68421052631579,0.11893213019806748
16,17,2,0.11764705882352941,15,0,618356.3329886803,31.941176470588236,0.12633436323619723
17,14,2,0.14285714285714285,12,0,30221.671380323456,24.142857142857142,0.12997222878267983
18,16,1,0.0625,15,0,9742.407851998236,19.5,0.1207958364890608
19,11,2,0.18181818181818182,9,0,447670.0143616764,25.545454545454547,0.12891570344520523
20,17,2,0.11764705882352941,15,0,22333.235547172524,25.352941176470587,0.12897334556990211
21,16,0,0.0,16,0,1846.3377340427676,16.4375,0.11550344810266758
22,30,2,0.06666666666666667,28,0,33636.350349503744,34.6,0.13247907647711402
23,19,1,0.05263157894736842,18,0,145023.71316779428,30.05263157894737,0.1519191674631124
24,11,2,0.18181818181818182,9,0,16957.954545454544,26.636363636363637,0.11678542597699594
25,22,0,0.0,22,0,240158.78528219208,34.22727272727273,0.140248670034686
26,18,0,0.0,18,0,0.0,21.333333333333332,0.14040978421798178
27,30,0,0.0,30,0,5793.636828999797,15.533333333333333,0.09945637647314191
28,27,2,0.07407407407407407,25,0,197509.37116265198,22.37037037037037,0.10614403344322297
29,20,1,0.05,19,0,110936.95737869332,20.25,0.12520542607843227
30,12,0,0.0,12,0,5761.06313170079,33.166666666666664,0.14036369309299404
31,25,2,0.08,23,0,414196.08085015474,22.88,0.11023635441129047
32,27,2,0.07407407407407407,25,0,14011.684504958805,18.40740740740741,0.1024913588175587
33,20,3,0.15,17,0,469105.9599902492,25.6,0.12976325675114142
34,15,1,0.06666666666666667,14,0,41774.78219642543,28.266666666666666,0.140757539832354
