,total,LMICs,LMICs_perc,HICs,Unknown,Avg BC,Avg DC,Avg CC,Min BC,Min DC,Min CC,Max BC,Max DC,Max CC
0,2957,640,0.21643557659790327,2317,0,53608.592293829955,23.11227595536016,0.1312959611646318,0.0,0.0,0.0,8608380.385755736,319.0,0.23113113986470343
1,14,2,0.14285714285714285,12,0,24172.96329379366,11.142857142857142,0.08769844207197315,0.0,0.0,0.0,338233.66828008636,28.0,0.173065954045416
2,28,7,0.25,21,0,180063.92876322774,38.67857142857143,0.14930571435553636,0.0,1.0,9.218713989398479e-05,2262729.6881572055,217.0,0.22276138895289482
3,33,6,0.18181818181818182,27,0,137218.50490906372,28.454545454545453,0.1633697781720808,0.0,1.0,0.0002765614196819544,1612568.1177907058,129.0,0.21313041187895668
4,11,0,0.0,11,0,6764.617006912977,23.09090909090909,0.1473132180219965,0.0,5.0,0.0002765614196819544,74410.78707604275,102.0,0.19914829325751815
5,105,19,0.18095238095238095,86,0,75532.37634236064,15.00952380952381,0.10666883868321687,0.0,0.0,0.0,2939444.2133176243,62.0,0.2092166836773741
6,30,9,0.3,21,0,51959.120172442126,31.266666666666666,0.14268406205625564,0.0,3.0,0.00020742106476146578,521422.0,228.0,0.2243278386871217
7,15,2,0.13333333333333333,13,0,10547.42992286094,19.4,0.12832270764581194,0.0,2.0,9.218713989398479e-05,158211.4488429141,51.0,0.18434517864914585
8,14,1,0.07142857142857142,13,0,501.4763484369969,15.214285714285714,0.067713310442375,0.0,0.0,0.0,6949.599999997526,58.0,0.20031736886194396
9,23,4,0.17391304347826086,19,0,123587.69936341523,16.91304347826087,0.13562367037986384,0.0,2.0,9.218713989398479e-05,2752115.451609855,79.0,0.21795130543573496
10,12,2,0.16666666666666666,10,0,13361.636724978564,27.5,0.13063285415641024,0.0,5.0,0.00023046784973496196,105943.9687673875,94.0,0.20247729160034267
11,23,5,0.21739130434782608,18,0,207420.491068864,26.17391304347826,0.15710306901363255,0.0,1.0,9.218713989398479e-05,1954746.441314471,253.0,0.22394679850889418
12,17,5,0.29411764705882354,12,0,2862.0642102170877,23.470588235294116,0.12964508381518094,0.0,5.0,0.00037643082123377117,38573.087968988555,152.0,0.20750834988676067
