,Degree Centrality,Closeness Centrality,Betweenness Centrality
ur.0753300600.29,3.0,0.0,0.0
ur.010072763211.79,0.0,0.0,0.0
ur.01261306147.08,1.0,0.0,0.0
ur.0747253647.94,0.0,0.0,0.0
ur.013266444002.08,0.0,0.0,0.0
ur.01110527150.75,9.0,9.585627036945747e-05,8.216251745953497e-05
ur.01207213057.86,4.0,0.0,1.3693752909922494e-05
ur.0747542022.49,2.0,0.0,0.0
ur.0576140150.94,22.0,0.000465587598937365,0.0003834250814778299
ur.01151164445.29,1.0,0.0,0.0
ur.0630032547.55,8.0,0.0,0.0
ur.01170514622.22,5.0,0.0,0.0
ur.01147176755.79,3.0,0.0,0.0
ur.01001521455.03,3.0,0.0,0.0
ur.01030245726.91,4.0,1.3693752909922494e-05,8.216251745953497e-05
ur.01156276162.68,1.0,0.0,0.0
ur.0624005576.33,0.0,0.0,0.0
ur.0737500547.67,3.0,0.0,0.0
ur.012520660077.34,3.0,0.0,0.0
ur.01324605671.37,3.0,0.0,0.0
ur.01005613747.69,16.0,0.00013693752909922494,0.00023279379946868233
ur.01140362342.04,0.0,0.0,0.0
ur.0672507502.02,0.0,0.0,0.0
ur.0706167341.81,5.0,0.0004792813518472875,0.00049297510475721
ur.01060516625.80,6.0,0.0,0.0
ur.016336561600.90,2.0,0.0,0.0
ur.01211316531.27,180.0,0.008312108016322864,0.008216251745953407
ur.01041463430.24,124.0,0.0052720948703201135,0.0048338947772026
ur.012465277217.06,376.0,0.031386081669543923,0.03161887546901263
ur.0764564726.45,5.0,2.7387505819844987e-05,1.3693752909922494e-05
ur.01254662775.05,4.0,5.4775011639689975e-05,1.3693752909922494e-05
ur.0770672700.49,14.0,0.00013693752909922494,0.00010955002327937996
ur.0614045533.04,1.0,0.0,0.0
ur.0662160733.30,6.0,0.0,0.0
ur.01160102606.34,0.0,0.0,0.0
ur.015254250173.94,0.0,0.0,0.0
ur.01230651616.84,1.0,0.0,0.0
ur.01325036047.68,1.0,0.0,0.0
ur.01004321133.46,4.0,0.0,0.0
ur.01266021570.35,2.0,0.0,0.0
ur.01307710201.67,2.0,0.0,0.0
ur.01160725617.40,3.0,4.108125872976748e-05,2.7387505819844987e-05
ur.01026114310.09,238.0,0.004998219812121668,0.004368307178265242
ur.01313115201.25,2.0,0.0,0.0
ur.01273724123.45,2.0,0.0,0.0
ur.01300252264.93,2.0,0.0,0.0
ur.01103475002.27,9.0,8.216251745953497e-05,0.00013693752909922494
ur.01164117636.95,1.0,0.0,0.0
ur.0670264267.47,1.0,0.0,0.0
ur.01314653005.57,0.0,0.0,0.0
ur.01157250330.50,0.0,0.0,0.0
ur.01134014315.28,0.0,0.0,0.0
ur.01154736524.63,0.0,0.0,0.0
