,Degree Centrality,Closeness Centrality,Betweenness Centrality
ur.0602130556.76,15.0,0.0008764001862350402,0.0006983813984060476
ur.0604413006.33,32.0,0.0014104565497220182,0.0014789253142716307
ur.01162320730.91,20.0,0.00060252512803659,0.0006846876454961251
ur.0662333634.94,6.0,0.00015063128200914743,0.00019171254073891488
ur.01207037542.19,4.0,0.0,0.0
ur.01255152742.58,4.0,0.0,0.0
ur.011216165521.08,4.0,0.0,0.0
ur.0633152414.25,4.0,0.0,0.0
ur.01043075731.82,21.0,0.0,4.108125872976748e-05
ur.01035225525.83,21.0,0.0004792813518472875,0.000465587598937365
ur.01155510027.84,21.0,0.0,0.0
ur.014777630757.42,10.0,0.0,0.0
ur.0771121431.52,21.0,4.108125872976748e-05,0.0
ur.01141440361.76,61.0,0.00019171254073891488,0.00013693752909922494
ur.012074424737.16,21.0,2.7387505819844987e-05,2.7387505819844987e-05
ur.01224507500.34,116.0,0.0015473940788212433,0.0015200065730013982
ur.0774762531.03,21.0,1.3693752909922494e-05,1.3693752909922494e-05
ur.01361440207.17,90.0,0.0007120751513159701,0.0005888313751266675
ur.01156374300.03,25.0,0.0001643250349190699,0.00021910004655875984
ur.0761541277.78,24.0,0.00030126256401829485,0.00030126256401829485
ur.01225763272.18,12.0,0.00027387505819844983,0.00021910004655875984
ur.013152002461.25,43.0,0.0028072193465341006,0.002834606852353945
ur.0613157766.81,1.0,0.0,0.0
ur.01213340563.40,4.0,6.846876454961247e-05,6.846876454961247e-05
ur.0703607603.09,6.0,2.7387505819844987e-05,2.7387505819844987e-05
ur.01221557731.59,11.0,0.00015063128200914743,0.0002464875523786048
ur.01171423064.29,2.0,5.4775011639689975e-05,4.108125872976748e-05
ur.01330017106.78,40.0,0.0005614438693068225,0.0007257689042258926
ur.015730042362.83,14.0,0.0,0.0
ur.0604461502.51,14.0,0.0,0.0
ur.01222176213.39,14.0,0.0,0.0
ur.01015066412.09,14.0,0.0,0.0
ur.01315171005.31,14.0,0.0,0.0
ur.0753505225.86,14.0,0.0,0.0
ur.012043670673.51,14.0,0.0,0.0
ur.01146421467.14,14.0,0.0,0.0
ur.0603744776.25,14.0,0.0,0.0
ur.01263744162.35,14.0,0.0,0.0
ur.01225117633.38,14.0,0.0,0.0
ur.0737027646.21,14.0,0.0,0.0
ur.0626465107.14,25.0,0.0006436063867663576,0.0005614438693068225
ur.01325436716.90,14.0,0.0,0.0
ur.0576024570.31,14.0,0.0,0.0
ur.0723161503.52,20.0,0.00031495631692821736,0.00027387505819844983
ur.0761006623.40,9.0,0.00031495631692821736,0.0002464875523786048
ur.014772741535.99,0.0,0.0,0.0
ur.01013564360.39,1.0,0.0,0.0
ur.01003615201.46,1.0,0.0,0.0
ur.015002454547.16,46.0,0.0003423438227480624,0.000465587598937365
ur.013114470017.13,33.0,0.00015063128200914743,0.00027387505819844983
ur.0671306472.50,6.0,0.0,0.0
ur.0611520752.44,6.0,0.0,0.0
ur.01324161120.64,6.0,0.0,0.0
ur.016677251433.85,6.0,0.0,0.0
ur.0676403753.15,6.0,0.0,0.0
ur.01041077105.74,1.0,0.0,0.0
ur.01005441653.52,3.0,5.4775011639689975e-05,1.3693752909922494e-05
ur.0644474455.53,2.0,0.0,0.0
ur.01003153742.73,5.0,0.0,0.0
ur.0767447351.49,5.0,0.0,0.0
ur.0715273211.17,5.0,0.0,0.0
ur.01233363013.32,5.0,0.0,0.0
ur.01036754265.16,5.0,0.0,0.0
ur.01261742326.07,5.0,0.0,0.0
ur.01263701242.03,10.0,0.0,0.0
ur.016714266137.49,58.0,0.00010955002327937996,8.216251745953497e-05
ur.01313052166.05,128.0,0.0012050502560731805,0.001191356503163258
ur.01012524745.38,10.0,0.0,0.0
ur.01011176551.59,52.0,4.108125872976748e-05,2.7387505819844987e-05
ur.010065171457.69,134.0,0.0015473940788212433,0.0015063128200914757
ur.0730775512.47,10.0,0.0,0.0
ur.013130547337.77,52.0,2.7387505819844987e-05,4.108125872976748e-05
ur.015003074137.23,10.0,0.0,0.0
ur.010476244177.00,52.0,1.3693752909922494e-05,2.7387505819844987e-05
ur.0675511437.67,58.0,0.00012324377618930246,0.00013693752909922494
ur.01304003344.45,0.0,0.0,0.0
ur.01235623316.70,0.0,0.0,0.0
ur.01040754030.98,3.0,5.4775011639689975e-05,1.3693752909922494e-05
ur.0770310251.55,0.0,0.0,0.0
ur.0610055521.87,19.0,1.3693752909922494e-05,1.3693752909922494e-05
ur.0771601077.54,33.0,0.0007668501629556602,0.0007120751513159701
ur.0674336554.45,61.0,0.0006436063867663576,0.0009311751978747303
ur.0753415253.67,25.0,2.7387505819844987e-05,5.4775011639689975e-05
ur.01214175543.35,17.0,1.3693752909922494e-05,4.108125872976748e-05
ur.010213651417.31,39.0,0.0007668501629556602,0.0006299126338564351
ur.01200231153.61,31.0,4.108125872976748e-05,4.108125872976748e-05
ur.0777047202.88,69.0,0.0014515378084517857,0.0016432503491907008
ur.0773236713.31,255.0,0.014049790485580305,0.014392134308328362
ur.0643403322.24,82.0,0.0019308191602990736,0.0021636129597677528
ur.015522553132.30,2.0,0.0,0.0
ur.01223572741.23,2.0,0.0,0.0
ur.0704212254.55,11.0,4.108125872976748e-05,8.216251745953497e-05
ur.0626433232.88,1.0,0.0,0.0
ur.0742331106.41,1.0,0.0,0.0
ur.0630057736.10,0.0,0.0,0.0
ur.01210027055.82,0.0,0.0,0.0
ur.0645552176.90,13.0,0.00013693752909922494,6.846876454961247e-05
ur.01321721133.74,5.0,0.0,0.0
ur.013056313217.55,13.0,5.4775011639689975e-05,0.00010955002327937996
ur.01031733654.88,14.0,0.00015063128200914743,0.00010955002327937996
ur.012617643677.02,27.0,0.0007257689042258926,0.0006436063867663576
ur.015003472057.84,6.0,0.0,0.0
ur.01270315213.45,6.0,0.0,0.0
ur.01060026703.18,6.0,0.0,0.0
ur.0744765722.47,6.0,0.0,0.0
ur.01053437644.61,6.0,0.0,0.0
ur.016425765167.70,6.0,0.0,0.0
ur.012663653247.75,6.0,0.0,0.0
ur.01162607247.56,31.0,0.0014926190671815532,0.0018760441486593835
ur.01311437246.78,62.0,6.846876454961247e-05,1.3693752909922494e-05
ur.01051714470.37,6.0,0.0,0.0
ur.01175210646.37,62.0,4.108125872976748e-05,4.108125872976748e-05
ur.01314744361.31,6.0,0.0,0.0
ur.01350334713.36,6.0,0.0,0.0
ur.01234256270.12,62.0,9.585627036945747e-05,4.108125872976748e-05
ur.0676534432.08,6.0,0.0,0.0
ur.0771233577.13,22.0,0.001109193985703723,0.0008490126804151952
ur.01127474651.06,10.0,0.0,0.0
ur.07742537757.29,10.0,0.0,0.0
ur.01116475476.38,10.0,0.0,0.0
ur.01232724076.44,10.0,0.0,0.0
ur.01320500077.48,10.0,0.0,0.0
ur.01357374257.52,10.0,0.0,0.0
ur.011321563157.26,10.0,0.0,0.0
ur.01247564351.43,10.0,0.0,0.0
ur.01342526774.54,10.0,0.0,0.0
ur.01366742723.02,10.0,0.0,0.0
ur.012431413407.71,10.0,0.0,0.0
ur.01062161061.48,8.0,0.00021910004655875984,0.00015063128200914743
ur.01305741055.69,37.0,0.0001643250349190699,0.00021910004655875984
ur.0725104017.97,2.0,0.0,0.0
ur.015607417277.46,145.0,0.009380220743296802,0.0090104894147289
ur.016327605607.46,0.0,0.0,0.0
ur.01321750771.84,77.0,0.0032317256867416917,0.0029030756169035566
ur.01126664725.79,2.0,0.0,0.0
ur.0770531511.67,4.0,0.00012324377618930246,0.0001643250349190699
ur.01214761002.48,147.0,0.002779831840714256,0.0025607317941554993
ur.01051715513.34,9.0,0.0,0.0
ur.01064471126.24,81.0,0.0021499192068578305,0.0018212691370196935
ur.014000364057.07,40.0,0.0010544189740640329,0.0006846876454961251
ur.0747226154.69,27.0,0.00013693752909922494,0.0001643250349190699
ur.01054657763.21,9.0,0.0,0.0
ur.0704641336.37,9.0,0.0,0.0
ur.01172444065.13,11.0,1.3693752909922494e-05,4.108125872976748e-05
ur.0600260506.16,27.0,1.3693752909922494e-05,1.3693752909922494e-05
ur.01204656746.47,43.0,0.0003423438227480624,0.00028756881110837234
ur.0764156613.65,86.0,0.00039711883438775243,0.0006573001396762801
ur.01103701061.44,3.0,0.0,0.0
ur.01027425132.19,2.0,4.108125872976748e-05,4.108125872976748e-05
ur.0635622442.54,8.0,0.0003560375756579849,0.0003560375756579849
ur.013616235007.97,51.0,0.0021499192068578305,0.0018486566428395385
ur.01212624344.39,0.0,0.0,0.0
ur.01076225201.94,1.0,0.0,0.0
ur.0600063474.33,2.0,4.108125872976748e-05,4.108125872976748e-05
ur.016210700061.88,53.0,0.0035603757565798267,0.0035877632623996713
ur.01065134334.25,0.0,0.0,0.0
ur.01163132377.48,3.0,0.0,0.0
ur.01263551653.37,3.0,0.0,0.0
ur.07765717637.49,3.0,0.0,0.0
ur.01067764707.48,3.0,0.0,0.0
ur.01321227413.82,31.0,0.0007942376687755052,0.0006573001396762801
ur.0745776015.61,8.0,0.0,0.0
ur.012273414437.46,8.0,0.0,0.0
ur.0755224725.91,13.0,0.00028756881110837234,0.0003697313285679074
ur.011725706257.46,10.0,0.00013693752909922494,9.585627036945747e-05
ur.01247750075.47,8.0,0.0,0.0
ur.0737720714.22,109.0,0.0021088379481280636,0.001944512913208996
ur.01003710361.37,56.0,0.0010133377153342654,0.001218744008983103
ur.01314516732.01,8.0,0.0,0.0
ur.0624710724.56,18.0,0.0007668501629556602,0.0007257689042258926
ur.01250020430.47,16.0,0.00031495631692821736,0.0002464875523786048
ur.01172544713.06,138.0,0.00501191356503159,0.004587407224823999
ur.0671341713.68,130.0,0.001081806479883878,0.001328294032262483
ur.0666416537.02,52.0,0.00019171254073891488,0.00013693752909922494
ur.0666762010.20,7.0,0.0,0.0
ur.01270717434.91,8.0,2.7387505819844987e-05,0.0
ur.01111066700.89,207.0,0.012748883959137687,0.012461315148029319
ur.0667070164.05,7.0,0.0,0.0
ur.015613016063.67,7.0,0.0,0.0
ur.0735203364.61,5.0,0.0,0.0
ur.0707745750.86,5.0,0.0,0.0
ur.01156602020.88,87.0,0.006052638786185684,0.006901651466600866
ur.0625117006.92,7.0,0.0,0.0
ur.0705206014.43,0.0,0.0,0.0
ur.01011135421.21,5.0,0.0,0.0
ur.01241612421.14,5.0,0.0,0.0
ur.01004771226.49,5.0,0.0,0.0
ur.01013463274.02,5.0,0.0,0.0
ur.0607610005.00,5.0,0.0,0.0
ur.0630015723.95,5.0,0.0,0.0
ur.01073621551.32,2.0,0.0,0.0
ur.0745060154.59,2.0,0.0,0.0
ur.01115044604.38,2.0,0.0,0.0
ur.01136400700.45,14.0,0.0,0.0
ur.0724456414.33,12.0,0.0,0.0
ur.014653235554.48,51.0,0.0,2.7387505819844987e-05
ur.01034275737.47,12.0,0.0,0.0
ur.01221525610.40,67.0,0.00041081258729767494,0.0004792813518472875
ur.0721164552.10,14.0,0.0,0.0
ur.0717133334.52,12.0,0.0,0.0
ur.01300120701.54,115.0,0.0006436063867663576,0.00043820009311751996
ur.01126550540.89,16.0,0.00021910004655875984,6.846876454961247e-05
ur.014232363577.64,14.0,0.0,0.0
ur.01154621122.42,12.0,0.0,0.0
ur.0760543362.12,12.0,0.0,0.0
ur.01335754210.18,152.0,0.001725412866650236,0.0016569441021006234
ur.0576213212.53,0.0,0.0,0.0
ur.0761541404.14,49.0,0.0008216251745953502,0.0007942376687755052
ur.01016436204.18,108.0,0.001328294032262483,0.0016432503491907008
ur.013716550164.32,59.0,0.004560019719004154,0.004080738367156874
ur.01202104525.01,5.0,0.0003423438227480624,0.0003697313285679074
ur.0741172571.48,0.0,0.0,0.0
ur.0724774570.01,0.0,0.0,0.0
ur.01057557432.52,3.0,0.0,0.0
ur.0766615350.46,3.0,0.0,0.0
ur.0767765775.80,13.0,0.00013693752909922494,0.00012324377618930246
ur.01371126246.21,37.0,0.0023416317475967426,0.002177306712677675
ur.0601556622.49,13.0,0.0,0.0
ur.0625664241.58,12.0,0.0,0.0
ur.01317155170.51,12.0,0.0,0.0
ur.0661134776.92,12.0,0.0,0.0
ur.0746362530.07,12.0,0.0,0.0
ur.01315425215.91,12.0,0.0,0.0
ur.01105336234.11,12.0,0.0,0.0
ur.011026565017.96,12.0,0.0,0.0
ur.015161315017.52,12.0,0.0,0.0
ur.01024617304.24,13.0,0.0,0.0
ur.01255403426.66,12.0,0.0,0.0
ur.01072732504.52,13.0,0.0,0.0
ur.07630651407.89,13.0,0.0,0.0
ur.0704503310.11,5.0,2.7387505819844987e-05,4.108125872976748e-05
ur.0763727005.09,290.0,0.011721852490893515,0.0111604086215867
ur.0601066330.39,29.0,0.0,0.0
ur.01011325140.53,29.0,0.0,0.0
ur.01032752227.43,29.0,0.0,0.0
ur.01277712554.45,29.0,0.0,0.0
ur.01066055513.22,29.0,0.0,0.0
ur.01331637616.28,35.0,0.0009311751978747303,0.001136581491523568
ur.01127442273.52,29.0,0.0,0.0
ur.0576464624.33,29.0,0.0,0.0
ur.0607324655.19,29.0,0.0,0.0
ur.0630650575.25,29.0,0.0,0.0
ur.01146365313.92,29.0,0.0,0.0
ur.01046535327.32,29.0,0.0,0.0
ur.0751377774.84,29.0,0.0,0.0
ur.01324155464.37,29.0,0.0,0.0
ur.0616257147.00,29.0,0.0,0.0
ur.01166234000.31,29.0,0.0,0.0
ur.01054361761.60,29.0,0.0,0.0
ur.01105021120.96,29.0,0.0,0.0
ur.014670751332.63,29.0,0.0,0.0
ur.0611516470.24,29.0,0.0,0.0
ur.0660141575.88,29.0,0.0,0.0
ur.01035573064.18,29.0,0.0,0.0
ur.01327630225.11,29.0,0.0,0.0
ur.01322144474.29,29.0,0.0,0.0
ur.01157047072.27,29.0,0.0,0.0
ur.01356630305.57,29.0,0.0,0.0
ur.01233220211.65,29.0,0.0,0.0
ur.0702121067.37,29.0,0.0,0.0
ur.01151156175.20,29.0,0.0,0.0
ur.01337577013.12,30.0,0.00013693752909922494,4.108125872976748e-05
ur.01113313453.22,23.0,0.00028756881110837234,0.00023279379946868233
ur.01242510025.35,6.0,0.0,0.0
ur.011176151020.59,24.0,0.00031495631692821736,0.00030126256401829485
ur.0707754714.96,6.0,0.0,0.0
ur.0634366426.10,45.0,0.0011776627502533355,0.001300906526442638
ur.0617530112.33,23.0,0.00023279379946868233,0.00031495631692821736
ur.07776141777.13,49.0,0.0009996439624243428,0.0009722564566044978
ur.016331102737.81,42.0,0.0038205570618683503,0.003847944567688195
ur.01317115717.02,17.0,1.3693752909922494e-05,1.3693752909922494e-05
ur.01154552605.42,7.0,0.0,0.0
ur.01041525660.65,7.0,0.0,0.0
ur.01213440661.99,7.0,0.0,0.0
ur.013766764637.73,7.0,0.0,0.0
ur.01254045526.51,7.0,0.0,0.0
ur.01155754260.50,7.0,0.0,0.0
ur.01007717160.93,34.0,0.0009174814449648078,0.0007805439158655827
ur.01344110546.47,0.0,0.0,0.0
ur.01060270656.35,9.0,0.0,0.0
ur.010654075612.21,0.0,0.0,0.0
ur.01033044533.08,1.0,0.0,0.0
ur.01117721120.30,1.0,0.0,0.0
ur.0755602600.11,26.0,0.00060252512803659,0.00042450634020759745
ur.01246417251.29,25.0,0.0016295565962807783,0.0012872127735327156
ur.01330764554.53,14.0,0.00027387505819844983,0.00043820009311751996
ur.01265504705.64,20.0,0.00012324377618930246,0.00010955002327937996
ur.01203664000.09,3.0,0.0,0.0
ur.01143725645.41,3.0,0.0,0.0
ur.01027152110.39,3.0,0.0,0.0
ur.0617214643.94,17.0,5.4775011639689975e-05,2.7387505819844987e-05
ur.0602257357.39,218.0,0.0019582066661189184,0.001889737901569306
ur.0703131151.04,26.0,0.0003834250814778299,0.00043820009311751996
ur.01321052315.06,16.0,0.0,0.0
ur.01172004050.93,16.0,0.0,0.0
ur.01126264633.12,16.0,0.0,0.0
ur.01306232450.73,16.0,0.0,0.0
ur.0732724633.80,16.0,0.0,0.0
ur.012660067504.28,16.0,0.0,0.0
ur.01364743760.91,16.0,0.0,0.0
ur.01310031071.20,42.0,0.00030126256401829485,0.0003286500698381399
ur.0657370175.46,16.0,0.0,0.0
ur.01206341711.01,16.0,0.0,0.0
ur.01325175661.54,16.0,0.0,0.0
ur.0720400124.85,234.0,0.0010681127269739554,0.0009996439624243428
ur.01315540325.55,32.0,0.0012598252677128705,0.001300906526442638
ur.01024127243.19,32.0,0.00021910004655875984,0.0003286500698381399
ur.0632017624.49,0.0,0.0,0.0
ur.07357451207.92,11.0,0.0003286500698381399,0.00021910004655875984
ur.01024164315.00,78.0,0.0001643250349190699,0.00015063128200914743
ur.0756470255.39,2.0,0.0,0.0
ur.0623265763.27,2.0,0.0,0.0
ur.014753404634.72,2.0,0.0,0.0
ur.01231157073.12,176.0,0.0006709938925862026,0.0008764001862350402
ur.01113354527.33,11.0,0.0,0.0
ur.01125357131.76,13.0,4.108125872976748e-05,5.4775011639689975e-05
ur.0764124271.56,0.0,0.0,0.0
ur.01042151240.70,67.0,0.004587407224823999,0.004696957248103377
ur.0676632646.68,193.0,0.008038232958124418,0.008750308109440377
ur.0634602650.04,4.0,0.0,0.0
ur.0660537313.51,4.0,0.0,0.0
ur.01056747653.00,4.0,0.0,0.0
ur.0666404052.00,4.0,0.0,0.0
ur.01354156254.83,6.0,0.0,0.0
