,Degree Centrality,Closeness Centrality,Betweenness Centrality
ur.01051220065.75,0.0,0.0,0.0
ur.0753222354.91,12.0,2.7387505819844987e-05,6.846876454961247e-05
ur.012627760265.54,43.0,0.00015063128200914743,4.108125872976748e-05
ur.01117652234.65,7.0,8.216251745953497e-05,5.4775011639689975e-05
ur.01047003147.30,2.0,0.0,0.0
ur.0630144013.29,2.0,0.0,0.0
ur.0770165631.54,1.0,0.0,0.0
ur.0652436161.95,1.0,0.0,0.0
ur.0774723246.63,0.0,0.0,0.0
ur.014463225737.83,2.0,0.0,4.108125872976748e-05
ur.01302120514.26,1.0,0.0,0.0
ur.012311471347.96,201.0,0.0027935255936241783,0.0029030756169035566
ur.01020717676.01,13.0,0.0,0.0
ur.010542701434.98,50.0,0.00043820009311751996,0.00041081258729767494
ur.0626462262.61,13.0,0.0,0.0
ur.01171025253.26,13.0,0.0,0.0
ur.01112661314.19,89.0,0.0013419877851724056,0.001300906526442638
ur.01154155032.85,13.0,0.0,0.0
ur.01020307434.30,13.0,0.0,0.0
ur.0630133405.04,13.0,0.0,0.0
ur.01203070062.08,31.0,2.7387505819844987e-05,2.7387505819844987e-05
ur.01175037005.04,13.0,0.0,0.0
ur.014041567515.60,13.0,0.0,0.0
ur.01044072413.63,13.0,0.0,0.0
ur.01317510076.98,95.0,0.000575137622216745,0.0004792813518472875
ur.01065165100.14,22.0,6.846876454961247e-05,2.7387505819844987e-05
ur.01252654405.20,2.0,0.0,0.0
ur.0672602216.91,2.0,0.0,0.0
ur.01214050341.14,4.0,0.0,0.0
ur.01220537633.94,4.0,0.0,0.0
ur.0633767272.00,4.0,0.0,0.0
ur.014065522700.99,4.0,0.0,0.0
ur.01124501414.09,4.0,0.0,0.0
ur.01250325223.87,2.0,0.0,0.0
ur.01316440423.60,2.0,0.0,0.0
ur.01310455515.01,2.0,0.0,0.0
ur.01112754113.07,22.0,0.0001643250349190699,9.585627036945747e-05
ur.011435022244.20,1.0,0.0,0.0
ur.01031341032.92,13.0,0.0,0.0
ur.015602420617.36,199.0,0.0041081258729767185,0.004025963355517185
ur.01255651472.27,13.0,0.0,0.0
ur.01266403217.70,13.0,0.0,0.0
ur.01312313311.48,13.0,0.0,0.0
ur.01125564255.15,13.0,0.0,0.0
ur.01256504657.21,13.0,0.0,0.0
ur.01020365466.96,13.0,0.0,0.0
ur.01222562564.74,13.0,0.0,0.0
