,Degree Centrality,Closeness Centrality,Betweenness Centrality
ur.011772150057.34,15.0,0.0002464875523786048,0.00023279379946868233
ur.01117022352.54,9.0,0.00012324377618930246,0.00013693752909922494
ur.01173367252.88,3.0,0.0,0.0
ur.01320412657.47,4.0,0.0,1.3693752909922494e-05
ur.0601373373.32,20.0,0.0005066688576671325,0.000465587598937365
ur.0757226324.38,6.0,0.00041081258729767494,0.0003834250814778299
ur.0775017522.46,20.0,0.0,0.0
ur.01136270635.18,2.0,0.0,0.0
ur.0626223210.84,0.0,0.0,0.0
ur.01123601517.72,1.0,0.0,0.0
ur.0644761747.04,1.0,0.0,0.0
ur.01104002357.67,0.0,0.0,0.0
ur.01272014677.20,2.0,2.7387505819844987e-05,5.4775011639689975e-05
ur.0670366717.45,2.0,0.0,0.0
ur.01210647641.52,0.0,0.0,0.0
ur.01034656007.48,2.0,0.0,0.0
ur.016246174177.13,12.0,0.0013146002793525606,0.0012050502560731805
ur.01272043253.95,34.0,0.0023279379946868203,0.0023827130063265095
ur.01240556653.00,41.0,0.006545613890942887,0.00680579519623141
ur.0720615314.99,0.0,0.0,0.0
ur.01307447427.46,0.0,0.0,0.0
ur.013460614664.70,0.0,0.0,0.0
ur.01021045674.50,0.0,0.0,0.0
ur.01043112332.98,0.0,0.0,0.0
ur.013531425307.59,0.0,0.0,0.0
ur.0724000563.11,0.0,0.0,0.0
ur.01303207305.72,0.0,0.0,0.0
ur.01076761721.94,32.0,5.4775011639689975e-05,0.00012324377618930246
ur.015750001717.89,1.0,0.0,0.0
ur.010520272417.55,6.0,2.7387505819844987e-05,2.7387505819844987e-05
ur.07505613520.06,0.0,0.0,0.0
ur.01102730616.62,0.0,0.0,0.0
ur.01246305614.35,0.0,0.0,0.0
ur.015335126607.39,0.0,0.0,0.0
ur.01146062665.33,1.0,0.0,0.0
ur.01171035300.21,26.0,0.002040369183578452,0.001834962889929616
ur.01326162467.15,8.0,0.0010270314682441879,0.0008216251745953502
ur.01104142045.88,2.0,0.0,0.0
ur.01037230154.33,0.0,0.0,0.0
ur.01175134432.24,1.0,0.0,0.0
ur.01113203161.82,1.0,0.0,0.0
ur.010552164557.46,5.0,0.0,0.0
ur.0730732401.97,0.0,0.0,0.0
ur.013606765037.00,0.0,0.0,0.0
ur.0601453542.11,2.0,0.0,0.0
ur.010414550532.61,0.0,0.0,0.0
ur.010565770024.64,30.0,0.0009174814449648078,0.001328294032262483
ur.0752453342.27,2.0,0.0,0.0
ur.0746651122.70,2.0,0.0,0.0
ur.012617643677.02,11.0,0.0007257689042258926,0.0007120751513159701
ur.01111066700.89,235.0,0.0207734231643528,0.02155396708021847
ur.01140231520.47,9.0,0.0003423438227480624,0.000520362610577055
ur.0575452526.54,4.0,0.0,0.0
ur.0770067702.67,6.0,0.0004792813518472875,0.0005614438693068225
ur.07424170657.46,15.0,0.0003697313285679074,0.00042450634020759745
ur.0770067465.02,10.0,0.00030126256401829485,0.00027387505819844983
ur.01212601375.97,89.0,0.0016432503491907008,0.0017391066195601584
ur.010571204017.56,34.0,0.011365814915235535,0.010571577246460042
ur.01367123336.27,15.0,0.0,0.0
ur.0641123655.02,2.0,0.0,0.0
ur.0774631030.54,18.0,0.0005614438693068225,0.0005340563634869775
ur.01110650025.19,0.0,0.0,0.0
ur.01225001545.47,0.0,0.0,0.0
ur.01276124224.15,25.0,0.0001780187878289924,0.00013693752909922494
ur.01304770753.78,1.0,0.0,0.0
ur.01261305472.88,52.0,0.0023279379946868203,0.0021088379481280636
ur.01363117030.63,4.0,0.0,0.0
ur.01204015442.31,7.0,0.00031495631692821736,0.0003697313285679074
ur.01070674410.26,4.0,0.0,0.0
ur.01350672553.88,10.0,0.001862350395749461,0.0016432503491907008
ur.011256250534.28,27.0,0.0014104565497220182,0.0014241503026319407
ur.01112755445.57,0.0,0.0,0.0
ur.01346246421.53,0.0,0.0,0.0
ur.0716547523.15,1.0,0.0,0.0
ur.01207636670.20,0.0,0.0,0.0
ur.01203215310.33,0.0,0.0,0.0
ur.0636242650.48,0.0,0.0,0.0
ur.01270675704.20,4.0,0.0,0.0
ur.01065442330.50,7.0,0.0001643250349190699,0.0001780187878289924
ur.01212074270.20,7.0,0.0,0.0
ur.01226032220.36,0.0,0.0,0.0
ur.0613473716.74,0.0,0.0,0.0
ur.01214010604.38,0.0,0.0,0.0
ur.01367533246.65,0.0,0.0,0.0
ur.01360227722.84,0.0,0.0,0.0
ur.01237413567.96,19.0,0.00021910004655875984,0.00020540629364883736
ur.0662250145.78,5.0,1.3693752909922494e-05,0.0
ur.01171031075.46,13.0,0.00015063128200914743,0.00010955002327937996
ur.01107576476.16,24.0,0.0006709938925862026,0.0007120751513159701
ur.0714512731.41,0.0,0.0,0.0
ur.01112622327.72,0.0,0.0,0.0
ur.01037117255.62,0.0,0.0,0.0
ur.012333143317.98,22.0,0.0,0.0
ur.01204236467.41,0.0,0.0,0.0
ur.01305367660.22,31.0,0.0002464875523786048,0.00023279379946868233
ur.0775112345.91,22.0,1.3693752909922494e-05,4.108125872976748e-05
ur.01246576774.91,1.0,0.0,0.0
ur.01135543255.38,0.0,0.0,0.0
ur.0677361245.72,0.0,0.0,0.0
