,Degree Centrality,Closeness Centrality,Betweenness Centrality
ur.01117562752.15,6.0,0.0,0.0
ur.0670314425.94,6.0,0.0,0.0
ur.0704541632.79,6.0,0.0,0.0
ur.01027374535.45,6.0,0.0,0.0
ur.0715746475.38,6.0,0.0,0.0
ur.0766327377.16,6.0,0.0,0.0
ur.07604051014.65,6.0,0.0,0.0
ur.014073140507.35,34.0,0.0006983813984060476,0.000465587598937365
ur.0744327761.14,9.0,0.0,0.0
ur.014746356207.25,34.0,0.00041081258729767494,0.0005340563634869775
ur.01347724071.07,9.0,0.0,0.0
ur.0640265700.72,9.0,0.0,0.0
ur.01136747412.49,9.0,0.0,0.0
ur.0624011033.61,9.0,0.0,0.0
ur.0651672654.31,9.0,0.0,0.0
ur.01071642361.98,11.0,0.0013830690439021731,0.0013419877851724056
ur.01012443161.07,34.0,0.0005888313751266675,0.0005614438693068225
ur.0663065330.25,17.0,0.0,0.0
ur.0707065437.15,17.0,0.0,0.0
ur.01214453511.41,17.0,0.0,0.0
ur.01016663214.53,17.0,0.0,0.0
ur.01330702111.88,17.0,0.0,0.0
ur.0640752237.71,17.0,0.0,0.0
ur.01306575473.08,28.0,5.4775011639689975e-05,8.216251745953497e-05
ur.01141551130.83,63.0,0.002136225453947908,0.002259469230137209
ur.01056140201.90,17.0,0.0,0.0
ur.01356501550.36,17.0,0.0,0.0
ur.01263042430.26,17.0,0.0,0.0
ur.01023216447.12,17.0,0.0,0.0
ur.01053557455.37,17.0,0.0,0.0
ur.0671057475.03,39.0,0.0006299126338564351,0.0008490126804151952
ur.01265727307.03,28.0,6.846876454961247e-05,6.846876454961247e-05
ur.0672275501.40,43.0,0.0001643250349190699,0.00020540629364883736
ur.01112614615.37,28.0,8.216251745953497e-05,4.108125872976748e-05
ur.01253771037.57,17.0,0.0,0.0
ur.01203475131.35,13.0,0.0,0.0
ur.0743607201.37,13.0,0.0,0.0
ur.01132142671.43,13.0,0.0,0.0
ur.0746376232.45,13.0,0.0,0.0
ur.01246371271.30,13.0,0.0,0.0
ur.01106552537.51,13.0,0.0,0.0
ur.01320477233.44,13.0,0.0,0.0
