,Degree Centrality,Closeness Centrality,Betweenness Centrality
ur.0623650220.12,1.0,0.0,0.0
ur.0724471236.03,1.0,0.0,0.0
ur.01314326500.06,12.0,0.0,0.0
ur.01242562401.98,12.0,0.0,0.0
ur.01076445037.14,12.0,0.0,0.0
ur.01001561122.12,12.0,0.0,0.0
ur.0744500276.26,12.0,0.0,0.0
ur.01306463763.07,12.0,0.0,0.0
ur.01266144701.71,12.0,0.0,0.0
ur.01323623126.34,12.0,0.0,0.0
ur.01067512600.85,12.0,0.0,0.0
ur.01016625007.76,12.0,0.0,0.0
ur.01023564410.54,130.0,0.001834962889929616,0.002136225453947908
ur.0654246263.50,12.0,0.0,0.0
ur.01216554525.43,12.0,0.0,0.0
ur.0736332364.93,36.0,5.4775011639689975e-05,0.0
ur.0741403405.90,53.0,0.0016706378550105459,0.0014789253142716307
ur.0656624211.16,29.0,0.0,0.0
ur.01204755767.31,48.0,0.0019582066661189184,0.0014789253142716307
ur.0653606213.45,29.0,0.0,0.0
ur.01243641524.85,29.0,0.0,0.0
ur.01132656435.75,29.0,0.0,0.0
ur.01336116404.09,36.0,1.3693752909922494e-05,0.0
ur.0626721046.54,35.0,4.108125872976748e-05,2.7387505819844987e-05
ur.01170034536.06,32.0,0.00020540629364883736,9.585627036945747e-05
ur.01360034535.91,29.0,0.0,0.0
ur.01075444033.26,29.0,0.0,0.0
ur.0666157143.80,36.0,1.3693752909922494e-05,2.7387505819844987e-05
ur.0761763046.70,29.0,0.0,0.0
ur.01027216716.22,36.0,5.4775011639689975e-05,1.3693752909922494e-05
ur.01244412507.34,29.0,0.0,0.0
ur.0702711464.61,29.0,0.0,0.0
ur.016647201074.25,29.0,0.0,0.0
ur.0674573660.88,29.0,0.0,0.0
ur.01324033530.61,29.0,0.0,0.0
ur.01277757405.62,36.0,2.7387505819844987e-05,1.3693752909922494e-05
ur.01164747343.65,29.0,0.0,0.0
ur.01247144476.34,36.0,4.108125872976748e-05,2.7387505819844987e-05
ur.01014036733.13,36.0,0.0001643250349190699,0.00013693752909922494
ur.01303052244.43,29.0,0.0,0.0
ur.01064055115.75,29.0,0.0,0.0
ur.01275736147.35,29.0,0.0,0.0
ur.0622446570.28,36.0,0.0,2.7387505819844987e-05
ur.0642225553.47,29.0,0.0,0.0
ur.0765367757.76,42.0,0.0002601813052885273,0.0001643250349190699
ur.0704377054.56,2.0,0.0,0.0
ur.0773413646.36,1.0,0.0,0.0
ur.014650763657.76,5.0,0.0,0.0
ur.0735275630.15,5.0,0.0,0.0
ur.012235355737.47,5.0,0.0,0.0
ur.014014303627.44,5.0,0.0,0.0
ur.0777103427.64,5.0,0.0,0.0
ur.01072731057.50,28.0,0.00030126256401829485,0.00045189384602744247
ur.01334401703.16,7.0,0.0,0.0
ur.01154704465.07,7.0,0.0,0.0
ur.01312500072.70,7.0,0.0,0.0
ur.01357414565.12,7.0,0.0,0.0
ur.01241444046.39,7.0,0.0,0.0
ur.01015416541.17,7.0,0.0,0.0
ur.0632672421.32,28.0,0.0006299126338564351,0.000465587598937365
ur.01023412072.29,7.0,0.0,0.0
ur.0634175346.22,4.0,0.0,0.0
ur.01204045370.14,4.0,0.0,0.0
ur.01332517572.40,4.0,0.0,0.0
ur.01016537146.68,4.0,0.0,0.0
ur.01270122702.56,4.0,0.0,0.0
ur.01077144300.33,10.0,0.0,0.0
ur.0764337747.94,38.0,0.0008764001862350402,0.0008353189275052727
ur.01263064531.96,15.0,5.4775011639689975e-05,4.108125872976748e-05
ur.0662725333.28,24.0,0.00043820009311751996,0.00045189384602744247
ur.01371774123.70,10.0,0.0,0.0
ur.016321532407.32,10.0,0.0,0.0
ur.016656356162.14,10.0,0.0,0.0
ur.01125324217.28,24.0,0.00019171254073891488,0.00012324377618930246
ur.012201547057.87,31.0,0.0007120751513159701,0.0008764001862350402
ur.016525067377.55,77.0,0.003656232026949283,0.004121819625886641
ur.0714506265.95,21.0,0.00039711883438775243,0.000465587598937365
